mes;marca;modelo;versao;dia;ano;vin
9;CHEVROLET;COLORADO;COLORADO DCAB 4X4 2.8;1;2022;9BG148FK0PC408873
9;CHEVROLET;N400 MAX;N400 MAX 1.5;1;2022;LZWCDAGA5PC801017
9;VOLKSWAGEN;GOL;GOL HB 1.6;1;2022;9BWAB45U7NT120908
9;VOLKSWAGEN;GOL;GOL HB 1.6;1;2022;9BWAB45U5NT122446
9;CHEVROLET;GROOVE;GROOVE 1.5;1;2022;LZWADAGA5PG003665
9;VOLKSWAGEN;T-CROSS;T CROSS TSI 1.0 AUT;1;2022;9BWBH6BF7N4066511
9;CHEVROLET;N400 MAX;N400 MAX 1.5;1;2022;LZWCDAGA9PC803787
9;CHEVROLET;N400 MAX;N400 MAX 1.5;1;2022;LZWCDAGA1PC803802
9;CHEVROLET;N400 MAX;N400 MAX 1.5;1;2022;LZWCDAGA1PC802231
9;VOLKSWAGEN;SAVEIRO;SAVEIRO CS 1.6;1;2022;9BWKL45UXNP046264
9;TOYOTA;HILUX;HILUX 4X2 2.4 MT SR;1;2022;8AJJB3DD1P4237160
9;VOLKSWAGEN;GOL;GOL HB 1.6;1;2022;9BWAB45U2NT122386
9;VOLKSWAGEN;GOL;GOL HB 1.6;1;2022;9BWAB45U7NT122948
9;HYUNDAI;HD 35;HD35 SWB 2P 2.5;1;2022;KMFVA17RPPC360549
9;HYUNDAI;HD 35;HD35 SWB 2P 2.5;1;2022;KMFVA17RPPC360548
9;VOLKSWAGEN;VOYAGE;VOYAGE 1.6;1;2022;9BWDB45U9NT127906
9;HYUNDAI;HD 35;HD 35 LWB 2.5;1;2022;KMFVA17RPNC360146
9;HYUNDAI;GRAND I-10 SEDAN;GRAND I10 SDN 1.2;1;2022;MALB241CAPM119904
9;BMW;X6;X6 M50I 4X4 4.4 AUT;1;2022;WBACY8103N9L11585
9;TOYOTA;HILUX;NEW HILUX 4X4 2.4L MT DX;1;2022;8AJDB3C5P1325144
9;CHEVROLET;TRACKER;TRACKER 1.2T LS MT P;1;2022;9BGEA76C0PB135857
9;PEUGEOT;2008;2008 PURETECH 130 1.2;1;2022;VR3USHNSKPJ513630
9;VOLKSWAGEN;POLO;POLO HATCH BACK 1.6 AT;1;2022;9BWAL5BZ8NP039783
9;TOYOTA;YARIS;YARIS SEDAN XLI 1.5 TM;1;2022;MR2B29F37N1249172
9;TOYOTA;RAV4;RAV4 LE 2.0 4X2 CVT;1;2022;JTMZ43FV0PD133196
9;TOYOTA;RAV4;RAV4 LE 2.0 4X2 MT;1;2022;JTMZ43FV9PD132421
