mes;marca;modelo;versao;dia;ano;vin
1;PEUGEOT;2008;2008 BLUE HDI 130 EAT8 1.5 AUT;6;2022;VR3UDYHZSNJ526248
1;CHEVROLET;SAIL;SAIL 1.5;6;2022;LSGHD52H3ND024627
1;PEUGEOT;PARTNER;PARTNER 1.6;4;2022;VR3EF9HPANJ531887
1;CHEVROLET;CAPTIVA;CAPTIVA 1.5 AUT;24;2022;LZWADAGA7NB024303
1;CHEVROLET;N400 MAX;N400 MAX 1.5;3;2022;LZWCDAGA3NC807556
1;FORD;NEW RANGER;RANGER RAPTOR 2.0;6;2022;MPBUR2366NX359311
1;CHEVROLET;GROOVE;GROOVE LTZ 1.5;3;2022;LZWADAGA8NG006685
1;CHEVROLET;GROOVE;GROOVE LTZ 1.5;3;2022;LZWADAGA2NG005841
1;CHEVROLET;GROOVE;GROOVE LTZ 1.5;3;2022;LZWADAGA7NG006144
1;CHEVROLET;GROOVE;GROOVE PREMIER 1.5;3;2022;LZWADAGA1NG007063
1;PEUGEOT;2008;2008 PURETECH 130 EAT8 1.2 AUT;3;2022;VR3USHNSSNJ525794
1;CHEVROLET;CAPTIVA;CAPTIVA MT6 4X2 1.5;24;2022;LZWADAGA6NB027919
1;CHEVROLET;CAPTIVA;CAPTIVA MT6 1.5;13;2022;LZWADAGAXNB027826
1;PEUGEOT;208;208 PURETECH 75 1.2;4;2022;VR3UPHMGBNT002023
1;PEUGEOT;208;208 PURETECH 75 1.2;6;2022;VR3UPHMGBNT001380
1;HYUNDAI;ATOS AH2;ATOS 1.1;6;2022;MALAF51CANM163805
1;HYUNDAI;ACCENT HCI;ACCENT HCI 1.4;6;2022;MALC741BAMM296216
1;CHEVROLET;N400 MAX;N400 MAX 1.5;3;2022;LZWCDAGA5NC807509
1;PEUGEOT;2008;2008 PURETECH 130 EAT8 1.2 AUT;4;2022;VR3USHNSSNJ526477
1;VOLKSWAGEN;VOYAGE;VOYAGE 1.6;14;2022;9BWDB45U1NT092231
1;TOYOTA;HILUX;HILUX DOBLE CABINA 2.4;6;2022;8AJJB3DD0N4234313
1;FORD;TERRITORY;TERRITORY TREND 1.5 AT;6;2022;LJXCU2BB5NTF05652
1;PEUGEOT;3008;3008 BLUE HDI 130 EAT8 1.5 AUT;6;2022;VF3MCYHZUNS007139
1;FORD;F-150;F150 LARIAT LUXURY 4X4 3.0;3;2022;1FTFW1E10MFC13923
1;PEUGEOT;2008;2008 ALLURE BLUEHDI 1.5 AUT;14;2022;VR3UDYHZSNJ533951
1;TOYOTA;HILUX;HILUX DOBLE CABINA 2.4;6;2022;8AJCB3DD9N3909266
1;TOYOTA;RAV4;RAV4 OTTO 2.0;6;2022;JTMZ43FV9ND104731
1;TOYOTA;FORTUNER;FORTUNER SRV 2.7 AUT;6;2022;8AJCX3GS8N0130793
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;6;2022;8AJKB3CD3N1635359
1;TOYOTA;YARIS;YARIS SEDAN GLI 1.5;3;2022;MR2B29F32N1235728
1;TOYOTA;YARIS;YARIS SEDAN XLI 1.5;3;2022;MR2B29F33N1236600
1;TOYOTA;HILUX;HILUX DOBLE CABINA 2.4;24;2022;8AJCB3DDXN3909387
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;24;2022;8AJDB3CD8N1318234
1;HYUNDAI;GRAND I-10 AI3 HB 1.2;GRAND I-10 AI3 1.2;3;2022;MALB241CANM091872
1;CHEVROLET;ONIX;ONIX HB RS 1.OT;13;2022;9BGEN48K0NG135804
1;PEUGEOT;5008;5008 ALLURE 1.5 AUT;6;2022;VF3MCYHZUNL001187
1;RENAULT;OROCH;OROCH 2.0;4;2022;93Y9SR5A6NJ126126
1;PEUGEOT;2008;2008 PURETECH 130 1.2;6;2022;VR3USHNSKNJ526158
1;PEUGEOT;208;208 BLUE HDI 100 4X2 1.5;6;2022;VR3UBYHTKNT002161
1;HYUNDAI;VERNA;VERNA CB 1.4;3;2022;LBECBACB2NW163888
1;HYUNDAI;GRAND I-10 AI3 HB 1.2;GRAND I-10 AI3 HB 1.2;6;2022;MALB251CANM236453
1;HYUNDAI;GRAND I-10 AI3 HB 1.2;GRAND I-10 AI3 HB 1.2;6;2022;MALB251CANM236460
1;TOYOTA;HILUX;HI LUX 2.4;14;2022;8AJJB3DDXN4234822
1;HYUNDAI;GRAND I-10 AI3 HB 1.2;GRAND I-10 AI3 HB 1.2;3;2022;MALB251CANM235825
1;HYUNDAI;GRAND I-10 AI3 HB 1.2;GRAND I-10 AI3 HB 1.2 MT PLUS;24;2022;MALB251CANM236448
1;PEUGEOT;301;301 HDI 92HP 1.6;6;2022;VF3DD9HP0NJ524448
1;CHEVROLET;SILVERADO;SILVERADO DCAB 4X4 5.3 AT;7;2022;3GCPY9ED1MG463502
1;CHEVROLET;TRACKER;TRACKER 1.2T AUT;14;2022;9BGEN76C0NB143586
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;7;2022;VR3EF9HPANJ530938
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;7;2022;VR3EF9HPANJ530936
1;PEUGEOT;PARTNER;PARTNER HDI 92 L2 1.6;7;2022;VR3EF9HPANJ528709
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;4;2022;8AJKB3CD9N1635785
1;CHEVROLET;SILVERADO;SILVERADO CC DCAB 4X4 5.3 AUT;7;2022;3GCPY9ED9MG460654
1;CHEVROLET;TRACKER;TRACKER 1.2T AUT;24;2022;9BGEN76C0NB142181
1;FORD;TERRITORY;TERRITORY TREND GTDI 1.5 AT;24;2022;LJXCU2BB4NTF07151
1;FORD;TERRITORY;TERRITORY TREND GTDI 1.5 AT;24;2022;LJXCU2BB5NTF04999
1;HYUNDAI;TUCSON NX4;TUCSON NX4 GDI 7DCT 1.6 AUT;13;2022;KMHJB81BGNU101161
1;TOYOTA;YARIS;GR YARIS TURBO 4X4 1.6;24;2022;JTDAF4E35NA014698
1;PEUGEOT;2008;2008 ACTIVE 1.2;13;2022;VR3USHNSKNJ524322
1;CHEVROLET;ONIX;ONIX NB LT 1.0T;13;2022;9BGEN69K0NG135735
1;CHEVROLET;ONIX;ONIX NB PREMIER 1.0T AUT;13;2022;9BGEP69K0NG135874
1;CHEVROLET;ONIX;ONIX NB LT 1.0T;13;2022;9BGEB69K0NG133591
1;CHEVROLET;TRACKER;TRACKER 1.2T;13;2022;9BGEN76C0NB149126
1;TOYOTA;YARIS;YARIS SEDAN OTTO 1.5;6;2022;MR2B29F34N1234080
1;CHEVROLET;GROOVE;GROOVE 1.5;24;2022;LZWADAGAXNG012407
1;CHEVROLET;GROOVE;GROOVE 1.5;14;2022;LZWADAGA1NG010156
1;TOYOTA;HILUX;HILUX PICKUP 2.7;7;2022;8AJJX3DD9N0756298
1;HYUNDAI;ACCENT HCI;ACCENT HCI 1.4;6;2022;MALC741BAMM295805
1;FORD;TERRITORY;TERRITORY TITANIUM GTDI 1.5 AUT;24;2022;LJXCU2BB6NTF07099
1;FORD;TERRITORY;TERRITORY TREND GTDI 1.5 AT;24;2022;LJXCU2BB3NTF07061
1;TOYOTA;HILUX;HILUX DOBLE CABINA 2.4;3;2022;8AJCB3DD0N3909348
1;TOYOTA;HILUX;HILUX DOBLE CABINA 2.4;3;2022;8AJJB3DD3N4234970
1;TOYOTA;HILUX;HILUX DOBLE CABINA 2.4;3;2022;8AJCB3DD3N3908324
1;FORD;NEW RANGER;RANGER RAPTOR 4X4 2.0 AUT;4;2022;MPBUR2369NX359688
1;HYUNDAI;ACCENT HCI;ACCENT HCI 1.4;6;2022;MALC741BAMM295855
1;HYUNDAI;GRAND I-10 AI3 HB 1.2;GRAND I-10 AI3 HB 1.2;6;2022;MALB251CANM236106
1;CHEVROLET;GROOVE;GROOVE 1.5;24;2022;LZWADAGAXNG014710
1;CHEVROLET;GROOVE;GROOVE 1.5;24;2022;LZWADAGA6NG014610
1;CHEVROLET;CAPTIVA;CAPTIVA 1.5 AUT;24;2022;LZWADAGAXNB024229
1;CHEVROLET;CAPTIVA;CAPTIVA 1.5 AUT;24;2022;LZWADAGA0NB024319
1;CHEVROLET;N400 MAX;N400 MAX 1.5;3;2022;LZWCDAGA1NC808169
1;CHEVROLET;ONIX;ONIX II RS 1.0;6;2022;9BGED48K0NG121465
1;HYUNDAI;ACCENT HCI;ACCENT HCI 1.4;6;2022;MALC741BAMM295469
1;CHEVROLET;COLORADO;COLORADO DCAB 4X4 2.8 AT;4;2022;9BG148PK0NC432101
1;CHEVROLET;COLORADO;COLORADO DCAB 4X4 2.8 AT;4;2022;9BG148PK0NC430766
1;RENAULT;KWID;KWID HB 1.0;4;2022;93YRBB002NJ109042
2;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;1;2022;VR3EF9HPANJ527178
2;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;23;2022;VR3EF9HPANJ528190
1;PEUGEOT;3008;3008 PURETECH 180 EAT8 1.6 AUT;24;2022;VF3M45GFUNS011133
1;CHEVROLET;COLORADO;COLORADO DCAB 4X4 2.8;13;2022;9BG148FK0NC432072
1;HYUNDAI;VERNA;VERNA CB 1.4;4;2022;LBECBACB3NW164337
1;HYUNDAI;ACCENT HCI;ACCENT HCI 1.4;4;2022;MALC741BAMM293830
1;PEUGEOT;2008;2008 PURETECH 130 EAT8 1.2 AUT;6;2022;VR3USHNSSNJ526463
1;PEUGEOT;2008;2008 PURETECH 130 1.2;6;2022;VR3USHNSKNJ526057
1;PEUGEOT;2008;2008 PURETECH 130 1.2;6;2022;VR3USHNSKNJ526053
1;PEUGEOT;2008;2008 BLUE HDI 130 EAT8 1.5 AUT;6;2022;VR3UDYHZSNJ526437
1;PEUGEOT;208;208 PURETECH 130 EAT8 1.2 AUT;6;2022;VR3UPHNSSNT002227
1;PEUGEOT;2008;2008 PURETECH 130 EAT8 1.2 AUT;6;2022;VR3USHNSSNJ525841
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CDXN1318025
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD4N1318084
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD9N1318064
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518676
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518683
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518898
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518899
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518900
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518901
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518902
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518903
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518904
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518906
1;HYUNDAI;GRAND I-10 AI3 HB 1.2;GRAND I-10 AI3 HB 1.2;3;2022;MALB251CANM236139
1;HYUNDAI;SANTA FE TM;SANTA FE TM 4X4 2.5 AUT;3;2022;KMHS381KDMU406776
1;FORD;TRANSIT VAN;TRANSIT CUSTOM FURGON 2.2;3;2022;WF0YXXTTGNTA25320
1;TOYOTA;RUSH;RUSH 1.5 MT;6;2022;MHKE8FE20NK013679
1;TOYOTA;YARIS;NEW YARIS SEDAN XLI;3;2022;MR2B29F38N1233630
1;TOYOTA;YARIS;YARIS SEDAN OTTO 1.5;6;2022;MR2B29F3XN1233712
1;HYUNDAI;STARIA MB;STARIA US4 CRDI 2.2 AUT;3;2022;KMHYB811BNU031978
1;HYUNDAI;I20 BI3;I20 BI3 1.4;3;2022;MALBG513AMM036399
1;FORD;TERRITORY;TERRITORY 1.5 AUT;24;2022;LJXCU2BB6NTF05658
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518907
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518908
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518909
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518910
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD6N1317521
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CDXN1317571
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD9N1317528
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD5N1317557
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD1N1317538
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD5N1317526
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD6N1317552
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD4N1317646
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD2N1317631
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD3N1317623
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD8N1317617
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD5N1317607
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD0N1317532
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CDXN1317537
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CDXN1317554
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD6N1317518
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD2N1317550
