mes;marca;modelo;versao;dia;ano;vin
9;CHEVROLET;TRACKER;TRACKER 1.2T AUT;5;2022;9BGEP76C0PB135070
9;CHEVROLET;TRACKER;TRACKER 1.2T;5;2022;9BGEA76C0PB123327
9;CHEVROLET;TRACKER;TRACKER 1.2T;5;2022;9BGEA76C0PB134732
9;FORD;NEW RANGER;RANGER ICA DSL LIMITED 4X4 3.2L;5;2022;8AFAR23W9PJ298163
9;FORD;NEW RANGER;RANGER ICA DSL LIMITED 4X4 3.2L AT;5;2022;8AFAR23W1PJ288565
9;FORD;NEW RANGER;RANGER RAPTOR 2.0 DIESEL;5;2022;MPBUR2361NX380342
9;FORD;NEW RANGER;RANGER ICA DSL XLT 4X2 3.2L;5;2022;8AFAR22W8PJ296969
9;CHEVROLET;TRACKER;TRACKER 1.2T AUT;5;2022;9BGEP76C0PB137255
9;TOYOTA;RAIZE;RAIZE CVT 1.2 AUT;2;2022;MHKAB1BA4NJ017854
9;CHEVROLET;N400 MAX;N400 MAX 1.5;2;2022;LZWCDAGA6PC801995
9;CHEVROLET;N400 MAX;N400 MAX 1.5;2;2022;LZWCDAGA2PC803856
9;CHEVROLET;N400 MAX;N400 MAX 1.5;2;2022;LZWCDAGA4PC803860
9;TOYOTA;COROLLA CROSS;COROLLA CROSS CVT 2.0 AUT;2;2022;9BRK4AAG3N0053998
9;HYUNDAI;VENUE;VENUE QX 1.6;5;2022;KMHRC812APU192190
9;CHEVROLET;TRACKER;TRACKER 1.2T AUT;5;2022;9BGEP76C0PB124257
9;CHEVROLET;TRACKER;TRACKER 1.2T;5;2022;9BGEA76C0PB122027
9;TOYOTA;RAV4;RAV4 4X4 OTTO 2.0;2;2022;JTMB43FV8PD035874
9;VOLKSWAGEN;TOUAREG;TOUAREG 4X4 3.0 AT;2;2022;WVGZZZCRZND021792
9;CHEVROLET;N400 MAX;N400 MAX 1.5;2;2022;LZWCDAGA3PC803879
9;CHEVROLET;N400 MAX;N400 MAX 1.5;2;2022;LZWCDAGA4PC800943
