Marca,Modelo,Target Semestre 1
BMW,118,2
BMW,218I,4
BMW,220,1
BMW,235,1
BMW,320,2
BMW,330,14
BMW,420,2
BMW,430I,1
BMW,520,3
BMW,530,1
BMW,I3,2
BMW,X1,1
BMW,X2 ,2
BMW,X3,13
BMW,X4,3
BMW,X5,4
BMW,X6,2
CHEVROLET,BLAZER,60
CHEVROLET,CAMARO,1
CHEVROLET,CAPTIVA,1295
CHEVROLET,COLORADO,1065
CHEVROLET,D-MAX,35
CHEVROLET,GROOVE,1468
CHEVROLET,N400 MAX,1034
CHEVROLET,ONIX,1787
CHEVROLET,OPTRA,1
CHEVROLET,SAIL,2000
CHEVROLET,SILVERADO,304
CHEVROLET,SPARK GT,2
CHEVROLET,SPIN,353
CHEVROLET,SUBURBAN,28
CHEVROLET,TAHOE,84
CHEVROLET,TRACKER,2487
CHEVROLET,TRAILBLAZER,98
CHEVROLET,TRAVERSE,97
FIAT,ARGO,89
FIAT,CASA RODANTE,2
FIAT,CINQUECENTO,13
FIAT,CRONOS,70
FIAT,DUCATO,26
FIAT,FIORINO,1
FIAT,MOBI,1
FIAT,PULSE,100
FORD,BRONCO SPORT,85
FORD,CASA RODANTE,3
FORD,ECOSPORT,121
FORD,EDGE,108
FORD,EXPEDITION,50
FORD,EXPLORER,209
FORD,F 350,1
FORD,F 450,1
FORD,F-150,242
FORD,F-250,2
FORD,MAVERICK,34
FORD,MUSTANG,25
FORD,NEW ESCAPE,43
FORD,NEW RANGER,509
FORD,TERRITORY,542
FORD,TRANSIT VAN,152
HYUNDAI,ACCENT,2
HYUNDAI,ACCENT HCI,352
HYUNDAI,ATOS AH2,182
HYUNDAI,CRETA,5
HYUNDAI,CRETA GRAND SU2I,49
HYUNDAI,ELANTRA CN7,99
HYUNDAI,GRAND I-10,182
HYUNDAI,GRAND I-10 AI3 HB 1.2,150
HYUNDAI,GRAND I-10 Ai3 SEDAN ,23
HYUNDAI,GRAND I-10 SEDAN,48
HYUNDAI,H-1,2
HYUNDAI,HD 35,292
HYUNDAI,I20 BI3,45
HYUNDAI,I20 IB,1
HYUNDAI,IONIQ,6
HYUNDAI,NEW CRETA,195
HYUNDAI,PALISADE LX2,11
HYUNDAI,PORTER,463
HYUNDAI,SANTA FE TM,122
HYUNDAI,SANTA FE TM FL,16
HYUNDAI,SOLATI,160
HYUNDAI,STARIA FG,9
HYUNDAI,STARIA MB,81
HYUNDAI,TUCSON NX4,5
HYUNDAI,TUCSON TL,9
HYUNDAI,VELOSTER,9
HYUNDAI,VENUE,238
HYUNDAI,VERNA,203
PEUGEOT,2008,769
PEUGEOT,208,544
PEUGEOT,3008,1009
PEUGEOT,301,396
PEUGEOT,308,11
PEUGEOT,5008,287
PEUGEOT,BOXER,198
PEUGEOT,EXPERT,210
PEUGEOT,LANDTREK,207
PEUGEOT,PARTNER,1773
PEUGEOT,RIFTER,119
PEUGEOT,SIN MODELO,1
RENAULT,ARKANA,13
RENAULT,CLIO V,31
RENAULT,DOKKER,64
RENAULT,DUSTER,96
RENAULT,EXPRESS,52
RENAULT,KANGOO,2
RENAULT,KOLEOS,6
RENAULT,KWID,94
RENAULT,OROCH,21
RENAULT,SYMBOL,30
TOYOTA,4RUNNER,190
TOYOTA,C-HR,8
TOYOTA,COROLLA,176
TOYOTA,COROLLA CROSS,655
TOYOTA,FORTUNER,5
TOYOTA,HIACE,6
TOYOTA,HILUX,1723
TOYOTA,LAND CRUISER,28
TOYOTA,PRIUS,4
TOYOTA,RAIZE,467
TOYOTA,RAV4,1606
TOYOTA,RUSH,467
TOYOTA,TACOMA,1
TOYOTA,YARIS,1258
VOLKSWAGEN,AMAROK,173
VOLKSWAGEN,CASA RODANTE,2
VOLKSWAGEN,GOL,616
VOLKSWAGEN,NIVUS,169
VOLKSWAGEN,NUEVO VIRTUS,1
VOLKSWAGEN,POLO,100
VOLKSWAGEN,SAVEIRO,248
VOLKSWAGEN,TAOS,161
VOLKSWAGEN,T-CROSS,471
VOLKSWAGEN,TIGUAN,21
VOLKSWAGEN,VOYAGE,269
