Marca,Modelo,Dealer,Qntde_vendidas,Target_Semestre_1
BMW,X1,DL-A,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-A,1,1
FIAT,FIORINO,DL-A,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-A,1,1
HYUNDAI,TUCSON NX4,DL-A,6,5
HYUNDAI,TUCSON NX4,DL-A,7,5
HYUNDAI,TUCSON NX4,DL-A,7,5
HYUNDAI,TUCSON NX4,DL-A,5,5
VOLKSWAGEN,NUEVO VIRTUS,DL-A,1,1
FORD,F 450,DL-A,1,1
HYUNDAI,TUCSON NX4,DL-A,6,5
HYUNDAI,TUCSON NX4,DL-B,9,5
HYUNDAI,TUCSON NX4,DL-B,7,5
FIAT,MOBI,DL-B,1,1
HYUNDAI,TUCSON NX4,DL-B,9,5
VOLKSWAGEN,NUEVO VIRTUS,DL-B,1,1
HYUNDAI,TUCSON NX4,DL-B,12,5
VOLKSWAGEN,NUEVO VIRTUS,DL-B,1,1
HYUNDAI,TUCSON NX4,DL-B,7,5
PEUGEOT,308,DL-B,12,11
HYUNDAI,TUCSON NX4,DL-C,8,5
HYUNDAI,TUCSON NX4,DL-C,8,5
HYUNDAI,TUCSON NX4,DL-C,5,5
VOLKSWAGEN,NUEVO VIRTUS,DL-C,2,1
FIAT,MOBI,DL-C,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-C,1,1
HYUNDAI,TUCSON NX4,DL-C,6,5
BMW,X1,DL-C,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-D,1,1
HYUNDAI,TUCSON NX4,DL-D,6,5
BMW,X1,DL-D,1,1
FIAT,FIORINO,DL-D,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-D,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-D,1,1
PEUGEOT,SIN MODELO,DL-D,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-D,1,1
HYUNDAI,TUCSON NX4,DL-D,13,5
VOLKSWAGEN,NUEVO VIRTUS,DL-D,1,1
HYUNDAI,TUCSON NX4,DL-D,9,5
HYUNDAI,TUCSON NX4,DL-D,8,5
HYUNDAI,I20 IB,DL-D,1,1
HYUNDAI,TUCSON NX4,DL-E,10,5
VOLKSWAGEN,NUEVO VIRTUS,DL-E,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-E,1,1
HYUNDAI,TUCSON NX4,DL-E,5,5
VOLKSWAGEN,NUEVO VIRTUS,DL-E,3,1
CHEVROLET,CAMARO,DL-E,1,1
PEUGEOT,308,DL-E,14,11
BMW,430I,DL-E,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-E,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-E,1,1
BMW,235,DL-E,1,1
HYUNDAI,TUCSON NX4,DL-E,5,5
HYUNDAI,TUCSON NX4,DL-E,5,5
VOLKSWAGEN,NUEVO VIRTUS,DL-F,1,1
HYUNDAI,TUCSON NX4,DL-F,7,5
VOLKSWAGEN,NUEVO VIRTUS,DL-F,1,1
TOYOTA,FORTUNER,DL-F,5,5
TOYOTA,TACOMA,DL-F,1,1
HYUNDAI,TUCSON NX4,DL-F,5,5
BMW,X1,DL-F,3,1
BMW,X1,DL-F,2,1
HYUNDAI,TUCSON NX4,DL-F,6,5
HYUNDAI,TUCSON NX4,DL-F,6,5
HYUNDAI,TUCSON NX4,DL-F,7,5
HYUNDAI,TUCSON NX4,DL-F,7,5
HYUNDAI,TUCSON NX4,DL-G,7,5
VOLKSWAGEN,NUEVO VIRTUS,DL-G,2,1
HYUNDAI,TUCSON NX4,DL-G,8,5
VOLKSWAGEN,NUEVO VIRTUS,DL-G,2,1
BMW,X1,DL-G,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-G,1,1
HYUNDAI,I20 IB,DL-G,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-H,1,1
HYUNDAI,TUCSON NX4,DL-H,8,5
HYUNDAI,TUCSON NX4,DL-H,5,5
HYUNDAI,TUCSON NX4,DL-H,8,5
VOLKSWAGEN,NUEVO VIRTUS,DL-H,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-H,1,1
HYUNDAI,TUCSON NX4,DL-H,10,5
HYUNDAI,TUCSON NX4,DL-H,5,5
CHEVROLET,CAMARO,DL-H,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-H,1,1
BMW,X1,DL-H,1,1
HYUNDAI,TUCSON NX4,DL-H,5,5
VOLKSWAGEN,NUEVO VIRTUS,DL-H,1,1
CHEVROLET,OPTRA,DL-H,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-I,1,1
HYUNDAI,I20 IB,DL-I,2,1
HYUNDAI,TUCSON NX4,DL-I,7,5
HYUNDAI,TUCSON NX4,DL-I,9,5
HYUNDAI,TUCSON NX4,DL-I,5,5
HYUNDAI,TUCSON NX4,DL-I,5,5
BMW,X1,DL-I,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-I,1,1
HYUNDAI,TUCSON NX4,DL-J,5,5
HYUNDAI,I20 IB,DL-J,1,1
HYUNDAI,TUCSON NX4,DL-J,11,5
TOYOTA,FORTUNER,DL-J,5,5
VOLKSWAGEN,NUEVO VIRTUS,DL-J,2,1
BMW,530,DL-J,1,1
HYUNDAI,TUCSON NX4,DL-J,5,5
VOLKSWAGEN,NUEVO VIRTUS,DL-J,1,1
VOLKSWAGEN,NUEVO VIRTUS,DL-J,1,1
HYUNDAI,TUCSON NX4,DL-J,5,5
HYUNDAI,TUCSON NX4,DL-K,6,5
HYUNDAI,TUCSON NX4,DL-K,5,5
HYUNDAI,TUCSON NX4,DL-K,11,5
VOLKSWAGEN,NUEVO VIRTUS,DL-K,1,1
HYUNDAI,TUCSON NX4,DL-K,15,5
FIAT,FIORINO,DL-K,1,1
FORD,F 350,DL-K,1,1
HYUNDAI,TUCSON NX4,DL-K,7,5
VOLKSWAGEN,NUEVO VIRTUS,DL-K,1,1
HYUNDAI,TUCSON NX4,DL-L,8,5
HYUNDAI,TUCSON NX4,DL-L,10,5
VOLKSWAGEN,NUEVO VIRTUS,DL-L,1,1
HYUNDAI,TUCSON NX4,DL-L,5,5
VOLKSWAGEN,NUEVO VIRTUS,DL-L,2,1
HYUNDAI,TUCSON NX4,DL-L,7,5
VOLKSWAGEN,NUEVO VIRTUS,DL-L,2,1
VOLKSWAGEN,NUEVO VIRTUS,DL-L,1,1
PEUGEOT,308,DL-L,16,11
VOLKSWAGEN,NUEVO VIRTUS,DL-L,1,1
BMW,X1,DL-L,1,1
HYUNDAI,TUCSON NX4,DL-M,6,5
HYUNDAI,TUCSON NX4,DL-M,5,5
VOLKSWAGEN,NUEVO VIRTUS,DL-M,2,1
HYUNDAI,TUCSON NX4,DL-M,10,5
VOLKSWAGEN,NUEVO VIRTUS,DL-M,1,1
HYUNDAI,TUCSON NX4,DL-M,6,5
HYUNDAI,TUCSON NX4,DL-M,6,5
HYUNDAI,TUCSON NX4,DL-M,5,5
BMW,220,DL-N,1,1
HYUNDAI,TUCSON NX4,DL-N,15,5
HYUNDAI,TUCSON NX4,DL-N,5,5
HYUNDAI,TUCSON NX4,DL-N,8,5
VOLKSWAGEN,NUEVO VIRTUS,DL-N,1,1
