Mes,Data,Marca,Modelo,Versao,Vin
1,2022-01-03,CHEVROLET,COLORADO,COLORADO DCAB 4X4 2.8 AT,9BG148MK0NC431959
1,2022-01-03,CHEVROLET,COLORADO,COLORADO DCAB 4X4 2.8 AT,9BG148PK0NC431083
1,2022-01-03,CHEVROLET,GROOVE,GROOVE LTZ 1.5,LZWADAGA2NG005841
1,2022-01-03,CHEVROLET,GROOVE,GROOVE LTZ 1.5,LZWADAGA7NG006144
1,2022-01-03,CHEVROLET,GROOVE,GROOVE PREMIER 1.5,LZWADAGA1NG007063
1,2022-01-03,CHEVROLET,N400 MAX,N400 MAX 1.5,LZWCDAGA1NC808169
1,2022-01-03,CHEVROLET,N400 MAX,N400 MAX 1.5,LZWCDAGA3NC807556
1,2022-01-03,CHEVROLET,SAIL,SAIL 1.5,LSGHD52H1ND024884
1,2022-01-03,CHEVROLET,SAIL,SAIL 1.5,LSGHD52H1ND025050
1,2022-01-03,CHEVROLET,SILVERADO,SILVERADO DCAB 4X4 5.3 AT,3GCPY9ED6MG465102
1,2022-01-03,FORD,ECOSPORT,ECOSPORT 1.5 AT,MAJBMSMCKNMG55360
1,2022-01-03,FORD,F-150,F150 LARIAT LUXURY 4X4 3.0,1FTFW1E10MFC13923
1,2022-01-03,FORD,NEW RANGER,RANGER RAPTOR 4X4 2.0 AUT,MPBUR2366NX355694
1,2022-01-03,FORD,NEW RANGER,RANGER XLS 4X4 3.2,8AFAR23W2NJ256057
1,2022-01-03,FORD,TERRITORY,TERRITORY TREND 1.5 AUT,LJXCU2BB3NTP03448
1,2022-01-03,FORD,TRANSIT VAN,TRANSIT CUSTOM FURGON 2.2,WF0YXXTTGNTA25320
1,2022-01-03,HYUNDAI,ACCENT HCI,ACCENT HCI 1.4,MALC741BAMM296983
1,2022-01-03,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 1.2,MALB241CANM091872
1,2022-01-03,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2,MALB251CANM235825
1,2022-01-03,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2,MALB251CANM236461
1,2022-01-03,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2,MALB251CANM236514
1,2022-01-03,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2,MALB251CANM238134
1,2022-01-03,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2,MALB251CANM239573
1,2022-01-03,HYUNDAI,GRAND I-10 SEDAN,GRAND I10 SDN 1.2,MALB241CANM091900
1,2022-01-03,HYUNDAI,GRAND I-10 SEDAN,GRAND I10 SDN 1.2,MALB241CANM096489
1,2022-01-03,HYUNDAI,GRAND I-10 SEDAN,GRAND I10 SDN 1.2,MALB241CANM096500
1,2022-01-03,HYUNDAI,HD 35,HD 35 LWB 2.5,KMFVA17RPNC356644
1,2022-01-03,HYUNDAI,HD 35,HD 35 LWB 2.5,KMFVA17RPNC356650
1,2022-01-03,HYUNDAI,I20 BI3,I20 BI3 1.4,MALBG513AMM036399
1,2022-01-03,HYUNDAI,SOLATI,H350 2.5,KMFAB17RPNK024493
1,2022-01-03,HYUNDAI,STARIA MB,STARIA US4 CRDI 2.2,KMJYA371ANU029301
1,2022-01-03,HYUNDAI,STARIA MB,STARIA US4 CRDI 2.2 AUT,KMHYB811BNU031978
1,2022-01-03,HYUNDAI,TUCSON NX4,TUCSON NX4 MPI 2.0,KMHJB81DANU099776
1,2022-01-03,HYUNDAI,VENUE,VENUE QX 1.6,KMHRC812ANU144131
1,2022-01-03,HYUNDAI,VERNA,VERNA CB 1.4,LBECBACB9NW165721
1,2022-01-03,PEUGEOT,2008,2008 BLUE HDI 100 4X2 1.5,VR3UDYHSKNJ529068
1,2022-01-03,PEUGEOT,2008,2008 PURETECH 130 EAT8 1.2 AUT,VR3USHNSSNJ525794
1,2022-01-03,PEUGEOT,208,208 PURETECH 75 1.2,VR3UPHMGBNT001463
1,2022-01-03,PEUGEOT,208,208 PURETECH 75 1.2,VR3UPHMGBNT001576
1,2022-01-03,PEUGEOT,208,208 PURETECH 75 1.2,VR3UPHMGBNT002011
1,2022-01-03,PEUGEOT,3008,3008 BLUE HDI 130 1.5,VF3MCYHZMNS007648
1,2022-01-03,PEUGEOT,PARTNER,PARTNER HDI 92 L1 1.6,VR3EF9HPANJ521050
1,2022-01-03,RENAULT,OROCH,OROCH ZEN MT 1.6,93Y9SR0SENJ126078
1,2022-01-03,TOYOTA,COROLLA CROSS,COROLLA CROSS CVT HEV 1.8 AUT,9BRKZAAG9N0619955
1,2022-01-03,TOYOTA,FORTUNER,FORTUNER 4X4 5P 2.8 AUT,8AJDA3FS1N0504152
1,2022-01-03,TOYOTA,HILUX,HILUX DOBLE CABINA 2.4,8AJCB3DD0N3909348
1,2022-01-03,TOYOTA,HILUX,HILUX PICK UP 4X4 2P 2.4,8AJDB8CB8N5511794
1,2022-01-03,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJCB3DDXN3908417
1,2022-01-03,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJDB3CD0N1317952
1,2022-01-03,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJDB3CD1N1317538
1,2022-01-03,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJDB3CD2N1317550
1,2022-01-03,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJDB3CD4N1317646
1,2022-01-03,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJDB3CD5N1317042
1,2022-01-03,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJDB3CD5N1317526
1,2022-01-03,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJDB3CD6N1317521
1,2022-01-03,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJDB3CD6N1317535
1,2022-01-03,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJDB3CD8N1317617
1,2022-01-03,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJDB3CD9N1317903
1,2022-01-03,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJDB3CD9N1318064
1,2022-01-03,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJDB3CDXN1317554
1,2022-01-03,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJDB3CDXN1318025
1,2022-01-03,TOYOTA,RAV4,RAV4 OTTO 2.0,JTMZ43FV0ND104133
1,2022-01-03,TOYOTA,RUSH,RUSH XLI 1.5,MHKE8FE20NK013792
1,2022-01-03,TOYOTA,YARIS,NEW YARIS 1.5,MR2B29F32N1231839
1,2022-01-03,TOYOTA,YARIS,NEW YARIS 1.5,MR2B29F38N1234583
1,2022-01-03,TOYOTA,YARIS,NEW YARIS GLI 1.5,MR2B29F34N1234340
1,2022-01-03,TOYOTA,YARIS,YARIS GLI 1.5,MR2B29F33N1235186
1,2022-01-03,TOYOTA,YARIS,YARIS HB OTTO 1.5,MR2K29F3XN1234794
1,2022-01-03,TOYOTA,YARIS,YARIS SEDAN GLI 1.5,MR2B29F32N1235728
1,2022-01-03,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F3XN1234830
